dim blocks threads naive shared
1000 10 20 0.443392 0.539648
1000 10 24 0.443392 0.542720
1000 10 28 0.486400 0.532480
1000 10 32 0.486400 0.563200
1000 20 4 1.030720 1.605632
1000 20 8 0.384960 0.541696
1000 20 12 0.457536 0.497664
1000 20 16 0.441312 0.480256
1000 20 20 0.442112 0.504832
1000 20 24 0.530432 0.570368
1000 20 28 0.445408 0.535552
1000 20 32 0.436640 0.549888
1000 30 4 0.738304 1.101824
1000 30 8 0.307776 0.446464
1000 30 12 0.451584 0.461824
1000 30 16 0.436864 0.453632
1000 30 20 0.444288 0.621568
1000 30 24 0.454112 0.495616
1000 30 28 0.465760 0.522240
1000 30 32 0.438720 0.548864
1000 40 4 0.589664 0.854016
1000 40 8 0.272384 0.351232
1000 40 12 0.450976 0.464896
1000 40 16 0.438816 0.487424
1000 40 20 0.444736 0.488448
1000 40 24 0.447488 0.520192
1000 40 28 0.432640 0.538624
1000 40 32 0.439296 0.539648
1000 50 4 0.525952 0.715776
1000 50 8 0.242688 0.292864
1000 50 12 0.455296 0.470016
1000 50 16 0.434720 0.567296
1000 50 20 0.453504 0.556032
1000 50 24 0.415680 0.526336
1000 50 28 0.460384 0.527360
1000 50 32 0.428768 0.538624
1000 60 4 0.435584 0.624640
1000 60 8 0.239616 0.283648
1000 60 12 0.452000 0.459776
1000 60 16 0.437248 0.507904
1000 60 20 0.441248 0.493568
1000 60 24 0.444416 0.488448
1000 60 28 0.452096 0.518144
1000 60 32 0.427008 0.535552
1000 70 4 0.433632 0.566272
1000 70 8 0.242432 0.254976
1000 70 12 0.478144 0.571392
1000 70 16 0.462848 0.503808
1000 70 20 0.434848 0.526336
1000 70 24 0.435616 0.503808
1000 70 28 0.432128 0.532480
1000 70 32 0.434752 0.530432
1000 80 4 0.377696 0.527360
1000 80 8 0.242080 0.250880
1000 80 12 0.483072 0.534528
1000 80 16 0.434176 0.462848
1000 80 20 0.449920 0.495616
1000 80 24 0.440928 0.493568
1000 80 28 0.429760 0.533504
1000 80 32 0.424864 0.532480
1000 90 4 0.368640 0.503808
1000 90 8 0.242624 0.248832
1000 90 12 0.450560 0.508928
1000 90 16 0.421632 0.488448
1000 90 20 0.433152 0.510976
1000 90 24 0.449984 0.499712
1000 90 28 0.425280 0.522240
1000 90 32 0.430560 0.550912
1000 100 4 0.337856 0.448512
1000 100 8 0.240448 0.240640
1000 100 12 0.437248 0.453632
1000 100 16 0.452416 0.479232
1000 100 20 0.454080 0.494592
1000 100 24 0.426624 0.483328
1000 100 28 0.440160 0.530432
1000 100 32 0.428704 0.515072
